date,close_price,high_price,low_price,open_price,volume
22/02/2018,10.3439,10.4412,10.2757,10.3147,25409561
23/02/2018,10.412,10.4217,10.3341,10.3828,21786781
26/02/2018,10.5969,10.6552,10.412,10.4509,27157756
27/02/2018,10.3244,10.6942,10.3147,10.6358,43502012
28/02/2018,10.3244,10.4995,10.2855,10.3925,41321429
01/03/2018,10.013,10.4022,9.9254,10.3633,75841414
02/03/2018,10.12,10.1395,9.867,9.9644,60491864
05/03/2018,10.2952,10.3439,10.0227,10.0325,44021329
06/03/2018,10.3439,10.3925,10.1882,10.3633,30978946
07/03/2018,10.3439,10.3536,10.1492,10.2271,30046598
08/03/2018,10.3244,10.3925,10.1979,10.3633,26947958
09/03/2018,10.4412,10.4412,10.2855,10.3439,26684375
12/03/2018,10.519,10.5579,10.3925,10.4022,33800918
13/03/2018,10.4898,10.6844,10.4412,10.5482,44456812
14/03/2018,10.7234,11.132,10.7136,10.9472,91985319
15/03/2018,10.772,10.9472,10.6552,10.7525,47645277
16/03/2018,10.8499,10.918,10.7623,10.8207,80684224
19/03/2018,10.7136,10.8693,10.5774,10.8499,63122538
20/03/2018,10.6942,10.8304,10.6747,10.7525,45612813
21/03/2018,10.8012,10.8839,10.6358,10.7039,38550957
22/03/2018,10.4606,10.7623,10.4412,10.7039,51280905
23/03/2018,10.2757,10.5579,10.2271,10.4995,39950867
26/03/2018,10.5385,10.5774,10.3925,10.4509,52325512
27/03/2018,10.5385,10.626,10.4314,10.5579,40677320
28/03/2018,10.5677,10.6552,10.4412,10.5385,42263662
29/03/2018,10.7817,10.8304,10.6212,10.6358,39863962
02/04/2018,10.5677,10.7915,10.412,10.7623,43598094
03/04/2018,10.8499,10.879,10.6066,10.7136,42523917
04/04/2018,11.025,11.0542,10.5093,10.5774,44834639
05/04/2018,11.0445,11.0737,10.9277,11.0347,28755606
06/04/2018,10.879,11.0445,10.772,10.9764,31920686
09/04/2018,10.9472,11.0737,10.8985,10.9472,36462658
10/04/2018,11.1418,11.2391,11.1029,11.132,44005015
11/04/2018,11.1223,11.1807,10.9958,11.0737,32979038
12/04/2018,11.0055,11.2294,10.9472,11.1904,47133732
13/04/2018,10.9764,11.0834,10.9277,11.0445,34598783
16/04/2018,11.0737,11.1418,10.9666,11.0542,32803268
17/04/2018,11.0737,11.1418,10.9958,11.1223,30906803
18/04/2018,11.025,11.171,10.9958,11.0737,46226082
19/04/2018,10.8081,11.0934,10.6996,11.025,49154173
20/04/2018,10.67,10.8771,10.6306,10.8574,44930027
23/04/2018,10.887,10.887,10.6799,10.6897,31936522
24/04/2018,10.8081,11.0151,10.7785,10.8968,39624986
25/04/2018,10.956,11.0053,10.7193,10.8081,40356076
26/04/2018,11.2715,11.3702,11.1335,11.2617,80676755
27/04/2018,11.3307,11.3997,11.2222,11.242,33375943
30/04/2018,11.0842,11.5625,11.0645,11.3702,66090895
01/05/2018,11.1039,11.1927,10.9461,11.094,61430446
02/05/2018,11.0546,11.1088,10.9658,11.1039,41899467
03/05/2018,11.0447,11.0546,10.8179,11.0151,38907404
04/05/2018,11.2025,11.2518,10.9363,11.0053,32043468
07/05/2018,11.1828,11.2814,11.1532,11.2025,27510279
08/05/2018,11.1138,11.2124,11.0792,11.1631,25754109
09/05/2018,10.9067,11.1236,10.8672,11.0546,43731958
10/05/2018,11.0546,11.094,10.8672,10.887,32023835
11/05/2018,11.0349,11.0891,11.0053,11.0645,19837675
14/05/2018,11.025,11.1335,11.0151,11.0743,27903121
15/05/2018,11.0645,11.094,10.9067,10.9461,26950114
16/05/2018,11.242,11.242,11.0447,11.0546,28976692
17/05/2018,11.3011,11.3209,11.2222,11.242,20741087
18/05/2018,11.1729,11.311,11.1433,11.2814,23893731
21/05/2018,11.3504,11.3899,11.2321,11.2617,31011916
22/05/2018,11.3603,11.4737,11.3504,11.4195,22360885
23/05/2018,11.2814,11.3899,11.1729,11.3406,23595004
24/05/2018,11.4589,11.4885,11.2814,11.2913,34876334
25/05/2018,11.3504,11.4441,11.311,11.3997,19337470
29/05/2018,11.2814,11.4589,11.2025,11.4392,31324274
30/05/2018,11.3899,11.449,11.311,11.3702,25554593
31/05/2018,11.3899,11.5723,11.2025,11.4885,61563249
01/06/2018,11.5477,11.6068,11.449,11.5082,35406189
04/06/2018,11.5772,11.6216,11.5279,11.5772,25141346
05/06/2018,11.666,11.703,11.5181,11.5772,31036704
06/06/2018,11.8041,11.8336,11.6561,11.7054,31110458
07/06/2018,11.8632,11.9816,11.7942,11.8041,47314073
08/06/2018,11.9323,11.952,11.8336,11.8731,28371881
11/06/2018,11.8632,11.9816,11.8534,11.9323,30398078
12/06/2018,11.9421,11.9816,11.8632,11.9027,51395448
13/06/2018,11.8534,11.9323,11.7942,11.9323,28406733
14/06/2018,11.7252,11.8435,11.6759,11.8336,34523019
15/06/2018,11.7153,11.8632,11.6364,11.6759,56326835
18/06/2018,11.8238,11.8731,11.6463,11.6561,32706527
19/06/2018,11.7252,11.7252,11.5082,11.6561,40064785
20/06/2018,11.7054,11.8829,11.666,11.8041,31964792
21/06/2018,11.5477,11.6659,11.4786,11.6364,33316702
22/06/2018,11.4885,11.7054,11.4589,11.5871,38207303
25/06/2018,11.3406,11.5082,11.2222,11.4688,36101893
26/06/2018,11.3603,11.4688,11.3307,11.3997,36627672
27/06/2018,11.2617,11.4786,11.242,11.38,27241994
28/06/2018,11.1236,11.242,10.9954,11.2124,43836444
29/06/2018,10.9165,11.2124,10.8771,11.1631,43615655
02/07/2018,10.9461,10.951,10.7588,10.8672,37892751
03/07/2018,10.8376,10.9954,10.7883,10.9461,16544777
05/07/2018,10.8968,10.9856,10.8672,10.9461,32008544
06/07/2018,10.9067,10.9461,10.7686,10.887,25487567
09/07/2018,11.0447,11.1039,10.8771,10.9461,23916802
10/07/2018,11.094,11.1039,11.0151,11.0447,21231537
11/07/2018,10.9165,11.0151,10.8968,10.9954,30030119
12/07/2018,10.8968,10.9856,10.8475,10.9461,27025237
13/07/2018,10.8278,10.8968,10.7588,10.8672,36537177
16/07/2018,10.6996,10.8179,10.6108,10.7982,46156833
17/07/2018,10.7094,10.7489,10.6503,10.6503,37584265
18/07/2018,10.7193,10.744,10.6601,10.6996,36420018
19/07/2018,10.67,10.7489,10.6207,10.739,40308773
20/07/2018,10.56,10.72,10.51,10.68,41447134
23/07/2018,10.47,10.57,10.42,10.56,34941983
24/07/2018,10.57,10.74,10.5,10.51,47302950
25/07/2018,10.52,10.57,10.12,10.32,92610535
26/07/2018,9.89,10.16,9.84,10.14,103893039
27/07/2018,9.93,10.05,9.91,9.96,45933084
30/07/2018,10.07,10.1,9.93,9.96,35877009
31/07/2018,10.04,10.11,10,10.11,38026871
01/08/2018,9.9,10.0785,9.82,10.06,44126692
02/08/2018,9.92,9.98,9.84,9.9,40318865
03/08/2018,10.04,10.06,9.93,9.93,25925122
